departamento;municipio;armas medios;cantidad;dia;mes;periodo;diasem
boyaca;sutamarchan;arma de fuego;1;19;1;2010;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;21;1;2010;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;2;2;2010;3
cordoba;cerete;arma de fuego;1;3;2;2010;4
santander;bucaramanga (ct);arma de fuego;1;3;2;2010;4
atlantico;juan de acosta;arma de fuego;1;5;2;2010;6
casanare;trinidad;arma de fuego;1;5;2;2010;6
guajira;urumita;arma de fuego;1;9;2;2010;3
atlantico;barranquilla (ct);arma de fuego;1;18;2;2010;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;2;2010;3
antioquia;medellin (ct);arma de fuego;1;24;2;2010;4
atlantico;barranquilla (ct);arma de fuego;1;25;2;2010;5
magdalena;santa marta (ct);arma de fuego;1;27;2;2010;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;4;3;2010;5
huila;gigante;arma de fuego;1;4;3;2010;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;23;3;2010;3
antioquia;copacabana;contundentes;1;28;3;2010;1
cundinamarca;villa de san diego de ubate;arma de fuego;1;30;3;2010;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;31;3;2010;4
antioquia;puerto berrio;arma de fuego;1;12;4;2010;2
boyaca;chiquinquira;arma de fuego;1;19;4;2010;2
cesar;valledupar (ct);arma de fuego;1;22;4;2010;5
guajira;riohacha (ct);arma de fuego;1;23;4;2010;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;29;4;2010;5
meta;villavicencio (ct);arma de fuego;1;3;5;2010;2
quindio;armenia (ct);arma de fuego;1;3;5;2010;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;5;5;2010;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;7;5;2010;6
atlantico;barranquilla (ct);arma de fuego;1;19;5;2010;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;25;5;2010;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;4;6;2010;6
valle;cali (ct);arma de fuego;1;10;6;2010;5
valle;cali (ct);arma de fuego;1;11;6;2010;6
valle;cali (ct);arma de fuego;1;15;6;2010;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;24;6;2010;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;29;6;2010;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;1;7;2010;5
antioquia;rionegro;arma de fuego;1;12;7;2010;2
atlantico;barranquilla (ct);arma de fuego;1;16;7;2010;6
meta;granada;sin empleo de armas;1;17;7;2010;7
narino;pasto (ct);arma de fuego;1;23;7;2010;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;26;7;2010;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;7;2010;4
magdalena;plato;arma de fuego;1;31;7;2010;7
cesar;valledupar (ct);arma de fuego;1;3;8;2010;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;9;8;2010;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;10;8;2010;3
cesar;valledupar (ct);arma de fuego;1;16;9;2010;5
meta;villavicencio (ct);arma de fuego;1;22;9;2010;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;30;9;2010;5
antioquia;caldas;arma de fuego;1;12;10;2010;3
guajira;fonseca;arma de fuego;1;15;10;2010;6
antioquia;la pintada;sin empleo de armas;1;15;10;2010;6
atlantico;baranoa;no reporta;1;16;10;2010;7
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;19;10;2010;3
bolivar;cartagena (ct);arma de fuego;1;22;10;2010;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;22;10;2010;6
magdalena;cienaga;arma de fuego;1;22;10;2010;6
antioquia;medellin (ct);contundentes;1;25;10;2010;2
santander;barrancabermeja;arma de fuego;1;4;11;2010;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;9;11;2010;3
cauca;el tambo;arma de fuego;1;10;11;2010;4
valle;cali (ct);arma de fuego;1;12;11;2010;6
antioquia;medellin (ct);contundentes;1;23;11;2010;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;16;12;2010;5
atlantico;barranquilla (ct);arma de fuego;1;11;1;2011;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;12;1;2011;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;19;1;2011;4
valle;cali (ct);arma de fuego;1;20;1;2011;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;1;2011;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;27;1;2011;5
huila;algeciras;arma de fuego;1;27;1;2011;5
valle;cali (ct);arma de fuego;1;31;1;2011;2
atlantico;barranquilla (ct);arma de fuego;1;4;2;2011;6
atlantico;barranquilla (ct);arma de fuego;1;16;2;2011;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;16;2;2011;4
valle;cali (ct);arma de fuego;1;16;2;2011;4
atlantico;soledad;contundentes;1;18;2;2011;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;22;2;2011;3
atlantico;barranquilla (ct);arma de fuego;1;23;2;2011;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;2;2011;4
cauca;purace;contundentes;1;23;2;2011;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;24;2;2011;5
antioquia;itagui;arma de fuego;1;4;3;2011;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;4;3;2011;6
antioquia;medellin (ct);arma de fuego;1;8;3;2011;3
valle;cali (ct);arma de fuego;1;8;3;2011;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;9;3;2011;4
magdalena;plato;arma de fuego;1;10;3;2011;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;14;3;2011;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;22;3;2011;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;25;3;2011;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;29;3;2011;3
narino;ipiales;arma de fuego;1;4;4;2011;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;12;4;2011;3
meta;acacias;sin empleo de armas;1;21;4;2011;5
valle;guadalajara de buga;contundentes;1;24;4;2011;1
meta;castilla la nueva;arma de fuego;1;25;4;2011;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;4;2011;3
antioquia;medellin (ct);sin empleo de armas;1;2;5;2011;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;3;5;2011;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;6;5;2011;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;10;5;2011;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;11;5;2011;4
valle;cali (ct);arma de fuego;1;11;5;2011;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;13;5;2011;6
valle;yumbo;arma de fuego;1;13;5;2011;6
antioquia;medellin (ct);arma de fuego;1;18;5;2011;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;5;2011;4
boyaca;paipa;arma de fuego;1;19;5;2011;5
valle;cali (ct);arma de fuego;1;19;5;2011;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;23;5;2011;2
cauca;popayan (ct);arma de fuego;1;25;5;2011;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;5;2011;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;30;5;2011;2
guajira;riohacha (ct);arma de fuego;1;3;6;2011;6
magdalena;santa marta (ct);arma de fuego;1;7;6;2011;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;10;6;2011;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;20;6;2011;2
caldas;manizales (ct);arma de fuego;1;30;6;2011;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;12;7;2011;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;15;7;2011;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;18;7;2011;2
bolivar;calamar;arma de fuego;1;21;7;2011;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;22;7;2011;6
valle;cali (ct);arma de fuego;1;22;7;2011;6
boyaca;sogamoso;arma de fuego;1;23;7;2011;7
valle;tulua;arma de fuego;1;1;8;2011;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;10;8;2011;4
antioquia;medellin (ct);sin empleo de armas;1;12;8;2011;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;19;8;2011;6
antioquia;medellin (ct);sin empleo de armas;1;26;8;2011;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;29;8;2011;2
atlantico;barranquilla (ct);arma de fuego;1;31;8;2011;4
atlantico;barranquilla (ct);arma de fuego;1;6;9;2011;3
valle;cali (ct);arma de fuego;1;13;9;2011;3
antioquia;itagui;arma de fuego;1;19;9;2011;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;26;9;2011;2
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;28;9;2011;4
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;29;9;2011;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;4;10;2011;3
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;5;10;2011;4
magdalena;aracataca;arma de fuego;1;5;10;2011;4
antioquia;itagui;arma de fuego;1;7;10;2011;6
atlantico;barranquilla (ct);arma de fuego;1;10;10;2011;2
valle;cali (ct);arma de fuego;1;11;10;2011;3
antioquia;medellin (ct);arma de fuego;1;2;11;2011;4
antioquia;envigado;arma de fuego;1;3;11;2011;5
atlantico;barranquilla (ct);arma de fuego;1;3;11;2011;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;3;11;2011;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;4;11;2011;6
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;9;11;2011;4
valle;florida;arma blanca / cortopunzante;1;10;11;2011;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;10;11;2011;5
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;2;15;11;2011;3
guajira;maicao;contundentes;1;18;11;2011;6
valle;guadalajara de buga;cortantes;1;21;11;2011;2
antioquia;medellin (ct);arma de fuego;1;25;11;2011;6
atlantico;barranquilla (ct);arma de fuego;1;27;11;2011;1
bogota d.c. (ct);bogota d.c. (ct);arma de fuego;1;30;11;2011;4
antioquia;envigado;arma de fuego;1;1;12;2011;5
