departamento;hurtos_motos
antioquia;97727
valle;59263
bogota d.c. (ct);48921
cauca;25011
atlantico;21339
huila;15568
santander;13357
norte de santander;13042
cesar;12974
narino;12958
meta;11672
bolivar;10080
guajira;9504
cundinamarca;8498
magdalena;7500
tolima;7377
cordoba;7044
sucre;5362
casanare;4728
choco;4263
caqueta;3912
risaralda;3723
putumayo;2932
quindio;2369
arauca;2186
caldas;1574
boyaca;1562
san andres;777
guaviare;438
amazonas;408
vichada;255
guainia;42
vaupes;29
